Yetki Belgesi No,Yetki Belgesi Unvanı,Yetki Belgesi İli,Yetki Belgesi İlçe,Yetki Belgesi Adresi,Telefon,E-posta
OSGB-4981,MODEL İŞ SAĞLIĞI VE GÜVENLİĞİ DANIŞMANLIK EĞİTİM MÜHENDİSLİK HİZMETLERİ LİMİTED ŞİRKETİ KOCAELİ ŞUBESİ,KOCAELİ,DARICA,BAYRAMOĞLU MAH. FATIH SULTAN MEHMET CAD. NO: 150/32 ,,
OSGB-4982,TEKSEN İŞ SAĞLIĞI VE GÜVENLİĞİ LİMİTED ŞİRKETİ MUĞLA ŞUBESİ,MUĞLA,MİLAS,CUMHURİYET MAH. KUVA-İ MİLLİYE CAD. NO: 66-1A ,,
OSGB-4983,ELİSA ORTAK SAĞLIK GÜVENLİK BİRİMİ LİMİTED ŞİRKETİ,KAHRAMANMARAŞ,ELBİSTAN,KÜMBET MAH. RECEP TAYYİP ERDOĞAN BUL. NO:34/17 ,,
OSGB-4984,SELAM OSGB İŞ SAĞLIĞI VE GÜVENLİĞİ HİZMETLERİ LİMİTED ŞİRKETİ,İSTANBUL,ESENLER,ORUÇ REİS MAH. TEKSTİLKENT CAD. TEKSTİLKENT SİT. B4 BLOK NO:10-AJ İÇ KAPI NO:315,,
OSGB-4985,DEMRE ORTAK SAĞLIK GÜVENLİK BİRİMİ EĞİTİM DANIŞMANLIK MÜHENDİSLİK VE LABORATUVAR HİZMETLERİ LİMİTED ŞİRKETİ,ADANA,SEYHAN,ULUCAMİİ MAH. ABİDİNPAŞA CAD. MİTHATBEY İŞHANI NO: 70 İÇ KAPI NO :203-204,,
OSGB-4986,UZMAN SİVAS ORTAK SAĞLIK GÜVENLİK EĞİTİM BİRİMİ SANAYİ TİCARET LİMİTED ŞİRKETİ,SİVAS,MERKEZ,KARDEŞLER MAH. 51-3. SOK. NO: 6B,5404575681,urhanilayda7@gmail.com
OSGB-4987,GEBZEM GRUP MEDİKAL ORTAK SAĞLIK VE GÜVENLİK BİRİMİ LİMİTED ŞİRKETİ,KOCAELİ,GEBZE,ARAPÇEŞME MAH. 1046/2. SOK. NO:1/C ,5300797416,info@gebzemmedikalosgb.com.tr
OSGB-4988,TANZER GÜL ÖZEL SAĞLIK HİZMETLERİ İŞ GÜVENLİĞİ MEDİKAL İNŞAAT TURİZM MİMARLIK MÜHENDİSLİK ÇEVRE SANAYİ VE TİCARET LİMİTED ŞİRKETİ ORGANİZE SANAYİ ŞUBESİ,ANTALYA,DÖŞEMEALTI,ANTALYA ORGANİZE SANAYİ BÖLGESİ 1. KISIM MAH. ATATÜRK BUL. NO:18/14,,
OSGB-4989,SAN İŞ SAĞLIĞI VE GÜVENLİĞİ EĞİTİM DANIŞMANLIK HİZMETLERİ TİCARET LİMİTED ŞİRKETİ,ANKARA,YENİMAHALLE,İVEDİK OSB MAH. HAVALANDIRMACILAR CAD. NO: 163/43 ,,
OSGB-4990,REHBER OSGB İŞ SAĞLIĞI VE GÜVENLİĞİ DANIŞMANLIK HİZMETLERİ TİCARET LİMİTED ŞİRKETİ,TRABZON,AKÇAABAT,ÇOLAKLI MAH. ADNAN MENDERES BUL. NO: 213B ,5327652753,rehberosgb@hotmail.com
OSGB-4991,ZEREN ORTAK SAĞLIK GÜVENLİK BİRİMİ İŞ SAĞLIĞI VE GÜVENLİĞİ LİMİTED ŞİRKETİ,ERZURUM,YAKUTİYE,LALAPAŞA MAH. 1. ÇAYKARA SOK. NO:3/12 ,,
OSGB-4992,ROTA 3M İŞ SAĞLIĞI VE GÜVENLİĞİ İNŞAAT EĞİTİM SAĞLIK DANIŞMANLIK TİCARET LİMİTED ŞİRKETİ,BURDUR,BUCAK,OĞUZHAN MAH. HOCA AHMET YESEVİ CAD. NO:7/14,,
